名称,営業日,住所,アクセス
温野菜 西武新宿駅前店,月～日、祝日、祝前日: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１-25-3西武新宿駅前ビル2F,JR新宿駅東口より徒歩5分/しゃぶしゃぶといえばしゃぶしゃぶ温野菜♪いろいろ選べる食べ放題や宴会コースもご用意！
銀波 GINPA 新宿駅東口店,月～日、祝日、祝前日: 11:30～15:00 （ドリンクL.O. 14:00）16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区新宿３－３７－１２　新宿NOWAビル　４Ｆ, 山手線ＪＲ新宿駅東口・南口　徒歩１～２分 丸ノ内線 副都心線  新宿三丁目駅 徒歩５分  西武新宿線西武新宿駅　      
串八珍 新宿中央口店,月～日、祝日、祝前日: 16:00～21:00 （料理L.O. 19:50 ドリンクL.O. 20:00）,東京都新宿区新宿３－３４－１６　池田プラザビル２Ｆ,JR新宿駅東口・東南口　徒歩3分
やきとりセンター 新宿歌舞伎町一番街通り店,月～日、祝日、祝前日: 15:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１-17-2　小松ビル2F,新宿駅Ｄ３出口より徒歩約4分/西武新宿駅正面口より徒歩約4分
bar 金魚鉢,月～土、祝前日: 18:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都新宿区歌舞伎町２-38-2 第2メトロビル2階,西武新宿線新宿駅から徒歩5分/JR新宿駅から徒歩10分
common cafe 新宿東口店,月～日、祝日、祝前日: 07:00～20:00 （料理L.O. 19:25）,東京都新宿区歌舞伎町１‐20‐2　アパホテル2階,ＪＲ 新宿駅 徒歩5分/西武新宿線 西武新宿駅 徒歩3分/地下鉄丸ノ内線 新宿駅 徒歩5分 
安安 新宿店,月: 16:00～20:00 （料理L.O. 19:30 ドリンクL.O. 18:50）火～金、祝前日: 16:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）土、祝日: 15:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）日: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都新宿区歌舞伎町１-25-3　西武新宿駅前ビルB1F,JR新宿駅　徒歩5分／西武新宿線 西武新宿駅 徒歩1分
匠心酒場,月～土、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都新宿区西新宿１-15-13-B1F,東京メトロ丸ノ内線，京王，小田急小田原線，都営，JR新宿駅京王新線口より徒歩1分/地上出口７より徒歩約3分
花ぜん 新宿本店,月～金: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）土、祝日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）祝前日: 11:30～13:30 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都新宿区西新宿７－１０－２０　地下１階,JR新宿駅西口徒歩3分／西武新宿線新宿駅徒歩2分／都営大江戸線新宿西口駅 D4番出口 徒歩1分 
新宿 又吉,月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区西新宿１-8-5-5F,新宿駅西口より徒歩1分新宿駅から278m　【毎日24時まで営業中！酒類も終日提供中！】
肉バル個室 ミート&チーズ とらや 新宿東口店,月～木、日、祝日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都新宿区歌舞伎町１-6-3　東海苑ビル2F,新宿駅東口から徒歩2分、新宿三丁目駅から徒歩3分！3H飲み放題付コース2980円～♪人気の肉バル料理が目白押し！
新宿っ子ダイニング ペコリ PECORI,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都新宿区歌舞伎町１－２５－３西武新宿駅前ビル７F,新宿駅東口徒歩7分、西武新宿駅徒歩0分♪西武新宿駅前ビル７F!! 新宿東口で誕生日・女子会・会社宴会なら！朝まで営業！
やきとりセンター 新宿歌舞伎町店,月～日、祝日、祝前日: 11:30～20:00 （料理L.O. 19:30 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１－１５－５ビッグレモンビル２Ｆ,JR新宿駅東口徒歩3分／新宿ドンキ徒歩1分/西武新宿駅徒歩4分
Garden 新宿駅前店,月: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 21:30）火～木、土、日、祝日、祝前日: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:40）,東京都新宿区新宿３‐27‐5 ケースリービル  7F,JR線 新宿駅 中央東口駅目の前！徒歩0分/東京メトロ丸の内線 新宿駅A8 徒歩0分/京王線・小田急線 新宿駅徒歩0分
元祖麻婆豆腐 新宿店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都新宿区西新宿１-15-13-2F,丸ノ内線，京王，小田急小田原線，都営，JR新宿駅地上出口７より徒歩3分/副都心線新宿三丁目駅Ｅ１０出口より徒歩約9分
日日 にちにち 新宿本店,月～日、祝日、祝前日: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都新宿区歌舞伎町２－３９－６　江口ビル１F,西武新宿線 西武新宿駅 徒歩4分 ＪＲ 新宿駅 徒歩6分 
菜々 土古里 とこり 小田急新宿店,月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:15 ドリンクL.O. 19:15）,東京都新宿区西新宿１－１－３　小田急百貨店　新宿　マンハッタンヒルズ１２Ｆ,JR・京王線・小田急線新宿駅徒歩3分　直結の新宿小田急百貨店のエレベーターで本館１２階にございます
新宿肉バル パンとサーカス,月、水、木、祝前日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）火: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）金: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 翌0:00）,東京都新宿区新宿３-3-7 4F,東京メトロ，都営新宿線　新宿三丁目駅Ｃ３出口より、徒歩約20秒 / 新宿駅　Ａ５出口より、徒歩約5分
ビー Bee 新宿店,月～木: 17:00～翌3:00 （料理L.O. 翌0:00 ドリンクL.O. 翌2:30）金: 17:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）土: 15:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）日、祝日: 15:00～翌3:00 （料理L.O. 翌0:00 ドリンクL.O. 翌2:30）祝前日: 17:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）,東京都新宿区新宿３－１８－４　セノビルＢ１・Ｂ２,JR新宿駅東口徒歩1分／地下鉄各線新宿駅　Ｂ10出口徒歩0分 「すしざんまい」様と同じビル！B1、B2フロア
アジアン居酒屋 カラシュ,月～日、祝日、祝前日: 11:00～15:30 （料理L.O. 15:30 ドリンクL.O. 15:30）17:30～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:30）,東京都新宿区西新宿１－１９－１１　７F,新宿駅西口から徒歩3分
ラッツダイニング Lad's Dining 新宿店,月～日、祝日、祝前日: 00:00～00:30,東京都新宿区新宿３‐３５‐７ さんらくビルＢ１Ｆ,JR新宿駅東南口から徒歩1分
ビタースイーツ ビュッフェ ルミネエスト新宿店,月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）,東京都新宿区新宿３－３８－１　ルミネエスト新宿８F,JR新宿駅東口直結！徒歩0分　ルミネエスト新宿内／東京メトロ新宿駅1分
縁 新宿駅東口店,月～日、祝日、祝前日: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区新宿３－２６－１８　カワノビル５Ｆ,ＪＲ新宿駅 東口 徒歩3分
ビラビアンキ VILLA BIANCHI 新宿店,月～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都渋谷区代々木2-2-1新宿サザンテラス小田急サザンタワー3F,【JR新宿駅新南改札徒歩２分】ステーキとワインの美味しいイタリアンバル、飲み会・女子会・同窓会におすすめ個室有り。
なだ万 賓館 小田急百貨店 新宿店,月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都新宿区西新宿１-1-3 小田急百貨店　新宿　マンハッタンヒルズ14Ｆ,JR新宿駅西口徒歩0分／地下鉄大江戸線新宿駅徒歩3分
台湾料理 味王 小酒舘,月～日、祝日、祝前日: 17:30～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都新宿区新宿３‐３６‐１８　国土三協ビル３Ｆ,JR新宿駅東南口徒歩1分
鳥貴族 西武新宿駅前店,月～木、日、祝日: 16:00～翌2:00 （料理L.O. 翌1:30）金、土、祝前日: 16:00～翌4:00 （料理L.O. 翌3:30）,東京都新宿区歌舞伎町１-25-3　ワモール4Ｆ,西武新宿線  西武新宿駅  南口より  南へ徒歩1分JR線  新宿駅  東口より  北へ徒歩6分
NOM. 新宿,月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,東京都新宿区歌舞伎町１-23-12桑原ビル3F,JR新宿駅東口徒歩3分　西武新宿駅徒2分（西武新宿線沿い）
